entity,share_2020,share_2024_projected,forecast_2027,forecast_2028,forecast_2029,gdp_group,change_2020_to_2029,at_risk
Greece,18.51,20.350241605966087,21.683859516422604,22.128398819908114,22.57293812339362,mid-high,4.062938123393618,False
Slovenia,20.86,21.58635397853503,22.11759198583779,22.294671321605378,22.471750657372965,mid-high,1.6117506573729656,False
Germany,17.17,19.464445518969605,21.136249676782082,21.693517729386244,22.250785781990402,high,5.0807857819904,False
Vanuatu,31.86,27.406902363978862,24.29791113875061,23.261580730341194,22.225250321931775,mid-low,-9.634749678068225,True
Luxembourg,16.45,18.996465926589288,20.810131033197603,21.414686068733708,22.019241104269817,high,5.5692411042698176,False
Canada,22.11,21.88503976720092,21.744149701309695,21.697186346012618,21.650222990715545,high,-0.45977700928445486,True
Italy,17.27,19.208994536849396,20.62149774871243,21.092332152666774,21.563166556621116,high,4.293166556621117,False
Spain,17.27,19.187617351678867,20.582385936414454,21.047308797992983,21.51223165957151,mid-high,4.242231659571509,False
Fiji,26.48,23.615312355019032,21.821155049841465,21.223102614782277,20.62505017972309,mid-low,-5.854949820276911,True
Czechia,15.85,17.60970593662929,18.901085339651157,19.33154514065845,19.762004941665737,nan,3.912004941665737,False
Ireland,12.34,15.705728150616384,18.105703337902675,18.905695066998106,19.705686796093538,high,7.365686796093538,False
United Kingdom,12.24,15.700896766362007,18.077992227790023,18.870357381599362,19.6627225354087,high,7.422722535408701,False
France,15.53,17.002538217139875,18.052762368144027,18.40283708514541,18.752911802146794,high,3.222911802146795,False
Belize,29.09,24.397196038100702,20.934482858499738,19.780245131966083,18.62600740543243,mid-low,-10.463992594567571,True
Afghanistan,18.51,18.508187879885238,18.517364884389636,18.520423885891102,18.523482887392568,low,0.013482887392566312,False
Cuba,21.54,19.90766420199164,18.69966851463776,18.2970032855198,17.894338056401843,mid-low,-3.6456619435981565,True
China,14.45,15.971362017762479,17.069736589644688,17.435861446938755,17.801986304232823,low,3.351986304232824,False
Georgia,25.22,21.74792660338755,19.220435904722958,18.377939005168095,17.535442105613228,low,-7.684557894386771,True
Turkey,14.12,15.348082650316796,16.307792467353593,16.627695739699192,16.947599012044794,mid-low,2.8275990120447947,False
Cyprus,12.05,13.269019385601894,14.144107850532198,14.435804005508965,14.727500160485734,mid-high,2.6775001604857334,False
Jordan,8.17,11.111888517398508,13.2352876919309,13.943087416775029,14.65088714161916,mid-low,6.48088714161916,False
Mauritania,24.7,19.95141546084462,16.727845241482576,15.653321835028562,14.578798428574547,low,-10.121201571425452,True
Poland,12.18,13.220123742998162,13.98046144769063,14.233907349254785,14.48735325081894,mid-low,2.30735325081894,False
